region_user,cell_type_label,allen_subclass_anchor,n_cells_in_anchor,cell_type_marker_genes,exclusion_markers,paper_suggested_gpcrs,top_GPCRs_to_choose,agreement_paper_vs_allen,warning
CP,D1/direct-pathway SPN,061 STR D1 Gaba,16660,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk","Chrm4, Cnr1, Drd1, Gabbr1, Gpr88, Grm1, Grm5, Htr1b, Oprd1, Oprm1","Drd1(spec=0.44, log2=8.77, pct=100%, status=keep); Grm1(spec=0.22, log2=8.99, pct=99%, status=keep); Htr1b(spec=0.15, log2=6.50, pct=93%, status=keep); Chrm4(spec=0.00, log2=0.27, pct=6%, status=candidate_to_validate)","both: Chrm4, Drd1, Grm1, Htr1b | paper_only: Cnr1(downgrade,spec=-1.92,log2=7.76); Gabbr1(downgrade,spec=-0.59,log2=8.59); Gpr88(downgrade,spec=-0.76,log2=10.17); Grm5(downgrade,spec=-0.02,log2=11.36); Oprd1(downgrade,spec=-5.76,log2=0.13); Oprm1(downgrade,spec=-5.12,log2=2.83)",
CP,D1/direct-pathway SPN,063 STR D1 Sema5a Gaba,780,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk","Chrm4, Cnr1, Drd1, Gabbr1, Gpr88, Grm1, Grm5, Htr1b, Oprd1, Oprm1",,"paper_only: Chrm4(downgrade,spec=-0.00,log2=0.27); Cnr1(downgrade,spec=-2.88,log2=6.79); Drd1(downgrade,spec=-0.44,log2=8.33); Gabbr1(downgrade,spec=-0.65,log2=8.53); Gpr88(downgrade,spec=-0.22,log2=10.70); Grm1(downgrade,spec=-4.63,log2=4.36); Grm5(downgrade,spec=-1.04,log2=10.34); Htr1b(downgrade,spec=-3.19,log2=3.31); Oprd1(downgrade,spec=-5.21,log2=0.68); Oprm1(downgrade,spec=-3.98,log2=3.97)",no GPCR passes keep/validate thresholds; using expression fallback
CP,D2/indirect-pathway SPN,062 STR D2 Gaba,18139,"Adora2a, Drd2, Gpr52, Gpr6, Penk, Sp9","Drd1, Tac1","Adora2a, Chrm4, Cnr1, Drd2, Gpr52, Gpr6, Gpr88, Grm1, Grm5, Oprd1","Grm5(spec=0.02, log2=11.38, pct=100%, status=keep); Gpr88(spec=0.22, log2=10.92, pct=100%, status=keep); Drd2(spec=0.24, log2=9.26, pct=99%, status=keep); Adora2a(spec=4.32, log2=9.20, pct=99%, status=keep); Gpr6(spec=5.74, log2=6.45, pct=93%, status=keep); Gpr52(spec=2.26, log2=2.78, pct=50%, status=keep)","both: Adora2a, Drd2, Gpr52, Gpr6, Gpr88, Grm5 | paper_only: Chrm4(downgrade,spec=-0.27,log2=0.01); Cnr1(downgrade,spec=-2.40,log2=7.28); Grm1(downgrade,spec=-0.22,log2=8.77); Oprd1(downgrade,spec=-2.02,log2=3.86)",
CP,Cholinergic interneuron,058 PAL-STR Gaba-Chol,30,"Chat, Lhx8, Slc18a3, Slc5a7","Drd1, Drd2","Adora2a, Chrm2, Chrm4, Cnr1, Drd2, Gabbr1, Oprm1, Tacr1","Gabbr1(spec=0.59, log2=9.18, pct=100%, status=keep); Chrm2(spec=0.32, log2=8.97, pct=100%, status=keep); Oprm1(spec=1.08, log2=7.95, pct=100%, status=keep); Tacr3(spec=3.71, log2=7.12, pct=93%, status=keep); Oprd1(spec=2.02, log2=5.88, pct=97%, status=keep); Hcrtr2(spec=3.07, log2=4.37, pct=77%, status=keep); Crhr1(spec=0.14, log2=3.07, pct=67%, status=keep)","both: Chrm2, Gabbr1, Oprm1 | paper_only: Adora2a(downgrade,spec=-7.84,log2=1.36); Chrm4(downgrade,spec=-0.27,log2=0.00); Cnr1(downgrade,spec=-7.31,log2=2.37); Drd2(downgrade,spec=-0.24,log2=9.02); Tacr1(downgrade,spec=-0.52,log2=9.99) | allen_only_keep: Crhr1, Hcrtr2, Oprd1, Tacr3",
BMAp,Posterior BMA glutamatergic VGLUT1-like,012 MEA Slc17a7 Glut,3984,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1","Cckbr, Cnr1, Crhr1, Gabbr1, Gabbr2, Gpr101, Grm5, Htr2c, Npy1r, Oprd1, Oprm1, Sstr2, Tacr1",,"paper_only: Cckbr(downgrade,spec=-3.12,log2=3.31); Cnr1(downgrade,spec=-7.56,log2=3.94); Crhr1(downgrade,spec=-1.34,log2=2.20); Gabbr1(downgrade,spec=-0.71,log2=8.18); Gabbr2(downgrade,spec=-1.23,log2=8.68); Gpr101(downgrade,spec=-4.05,log2=2.94); Grm5(downgrade,spec=-0.93,log2=10.54); Htr2c(downgrade,spec=-5.59,log2=3.99); Npy1r(downgrade,spec=-3.69,log2=3.64); Oprd1(downgrade,spec=-4.98,log2=0.56); Oprm1(downgrade,spec=-3.70,log2=3.70); Sstr2(downgrade,spec=-2.64,log2=2.11); Tacr1(downgrade,spec=-3.02,log2=3.94)",no GPCR passes keep/validate thresholds; using expression fallback
BMAp,Posterior BMA glutamatergic VGLUT1-like,113 MEA-COA-BMA Ccdc42 Glut,9654,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1","Cckbr, Cnr1, Crhr1, Gabbr1, Gabbr2, Gpr101, Grm5, Htr2c, Npy1r, Oprd1, Oprm1, Sstr2, Tacr1",,"paper_only: Cckbr(downgrade,spec=-3.22,log2=3.22); Cnr1(downgrade,spec=-10.94,log2=0.57); Crhr1(downgrade,spec=-1.36,log2=2.19); Gabbr1(downgrade,spec=-0.61,log2=8.28); Gabbr2(downgrade,spec=-1.53,log2=8.38); Gpr101(downgrade,spec=-3.42,log2=3.57); Grm5(downgrade,spec=-1.12,log2=10.36); Htr2c(downgrade,spec=-2.20,log2=7.38); Npy1r(downgrade,spec=-3.62,log2=3.71); Oprd1(downgrade,spec=-3.55,log2=1.98); Oprm1(downgrade,spec=-1.67,log2=5.73); Sstr2(downgrade,spec=-2.28,log2=2.47); Tacr1(downgrade,spec=-6.77,log2=0.19)",no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,152 RE-Xi Nox4 Glut,5450,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2",,"paper_only: Adcyap1r1(downgrade,spec=-5.37,log2=2.78); Chrm2(downgrade,spec=-2.93,log2=6.27); Gabbr1(downgrade,spec=-1.71,log2=9.35); Gabbr2(downgrade,spec=-1.58,log2=9.23); Grm1(downgrade,spec=-1.19,log2=8.82); Grm5(downgrade,spec=-1.51,log2=10.02); Htr2a(downgrade,spec=-3.09,log2=0.04); Ntsr1(downgrade,spec=-1.23,log2=0.33); Ntsr2(downgrade,spec=-9.00,log2=0.04); Sstr2(downgrade,spec=-4.46,log2=0.20)",no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,149 PVT-PT Ntrk1 Glut,9854,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2","Oprk1(spec=1.42, log2=4.18, pct=66%, status=keep); Galr1(spec=0.23, log2=2.12, pct=35%, status=keep); Oxtr(spec=0.50, log2=1.89, pct=34%, status=keep)","paper_only: Adcyap1r1(downgrade,spec=-2.91,log2=5.24); Chrm2(downgrade,spec=-5.90,log2=3.30); Gabbr1(downgrade,spec=-2.30,log2=8.76); Gabbr2(downgrade,spec=-2.01,log2=8.80); Grm1(downgrade,spec=-2.93,log2=7.07); Grm5(downgrade,spec=-2.67,log2=8.86); Htr2a(downgrade,spec=-3.10,log2=0.03); Ntsr1(downgrade,spec=-1.24,log2=0.32); Ntsr2(downgrade,spec=-8.68,log2=0.36); Sstr2(downgrade,spec=-4.18,log2=0.48) | allen_only_keep: Galr1, Oprk1, Oxtr",
RE,Midline thalamic glutamatergic / reuniens,145 MH Tac2 Glut,7972,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Adcyap1r1, Chrm2, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Ntsr1, Ntsr2, Sstr2","Gabbr1(spec=1.44, log2=11.06, pct=100%, status=keep); Gabbr2(spec=0.83, log2=10.81, pct=99%, status=keep); Tacr1(spec=1.61, log2=6.00, pct=78%, status=keep); Sstr2(spec=2.64, log2=4.66, pct=68%, status=keep)","both: Gabbr1, Gabbr2, Sstr2 | paper_only: Adcyap1r1(downgrade,spec=-7.94,log2=0.22); Chrm2(downgrade,spec=-8.87,log2=0.33); Grm1(downgrade,spec=-7.57,log2=2.43); Grm5(downgrade,spec=-7.53,log2=3.99); Htr2a(downgrade,spec=-2.68,log2=0.45); Ntsr1(downgrade,spec=-1.54,log2=0.02); Ntsr2(downgrade,spec=-8.96,log2=0.08) | allen_only_keep: Tacr1",
LM,Lateral mammillary excitatory,144 MM Foxb1 Glut,8270,"Foxb1, Lhx5, Pou4f1",Slc32a1,"Adcyap1r1, Avpr1a, Cckbr, Gabbr1, Gabbr2, Grm1, Hcrtr1, Hcrtr2, Mc4r, Oxtr, Sstr2",,"paper_only: Adcyap1r1(downgrade,spec=-4.76,log2=2.64); Avpr1a(downgrade,spec=-2.15,log2=0.01); Cckbr(downgrade,spec=-4.07,log2=0.28); Gabbr1(downgrade,spec=-1.00,log2=8.28); Gabbr2(downgrade,spec=-1.75,log2=8.35); Grm1(downgrade,spec=-0.13,log2=9.71); Hcrtr1(downgrade,spec=-1.61,log2=0.02); Hcrtr2(downgrade,spec=-4.36,log2=1.25); Mc4r(downgrade,spec=-1.20,log2=0.00); Oxtr(downgrade,spec=-3.63,log2=0.01); Sstr2(downgrade,spec=-2.19,log2=0.37)",no GPCR passes keep/validate thresholds; using expression fallback
LM,Lateral mammillary excitatory,143 MM-ant Foxb1 Glut,5437,"Foxb1, Lhx5, Pou4f1",Slc32a1,"Adcyap1r1, Avpr1a, Cckbr, Gabbr1, Gabbr2, Grm1, Hcrtr1, Hcrtr2, Mc4r, Oxtr, Sstr2","Htr2a(spec=1.70, log2=5.18, pct=73%, status=keep)","paper_only: Adcyap1r1(downgrade,spec=-4.46,log2=2.93); Avpr1a(downgrade,spec=-2.15,log2=0.00); Cckbr(downgrade,spec=-2.99,log2=1.36); Gabbr1(downgrade,spec=-1.09,log2=8.19); Gabbr2(downgrade,spec=-1.74,log2=8.36); Grm1(downgrade,spec=-0.99,log2=8.85); Hcrtr1(downgrade,spec=-1.58,log2=0.05); Hcrtr2(downgrade,spec=-4.97,log2=0.64); Mc4r(downgrade,spec=-1.20,log2=0.01); Oxtr(downgrade,spec=-3.63,log2=0.00); Sstr2(downgrade,spec=-1.93,log2=0.63) | allen_only_keep: Htr2a",
ORBm,L2/3 IT excitatory,007 L2/3 IT CTX Glut,8869,"Cdh13, Cux1, Cux2, Rorb, Satb2, Slc17a7","Gad1, Slc32a1","Cckbr, Cnr1, Gabbr1, Gabbr2, Grm1, Grm5, Htr2a, Npy1r, Oprd1, Oprm1, Sstr2","Cckbr(spec=0.08, log2=4.87, pct=73%, status=keep)","both: Cckbr | paper_only: Cnr1(downgrade,spec=-6.50,log2=5.66); Gabbr1(downgrade,spec=-0.34,log2=8.47); Gabbr2(downgrade,spec=-0.59,log2=9.02); Grm1(downgrade,spec=-0.90,log2=7.68); Grm5(downgrade,spec=-0.82,log2=10.48); Htr2a(downgrade,spec=-4.91,log2=2.84); Npy1r(downgrade,spec=-2.34,log2=4.06); Oprd1(downgrade,spec=-3.19,log2=1.39); Oprm1(downgrade,spec=-3.60,log2=2.01); Sstr2(downgrade,spec=-7.42,log2=0.37)",
AId,Upper-layer IT excitatory,007 L2/3 IT CTX Glut,7697,"Cux1, Cux2, Rorb, Slc17a7","Gad1, Slc32a1","Cckbr, Cnr1, Gabbr1, Gabbr2, Grm5, Htr2a, Npy1r, Oprd1, Oprm1, Sstr2","Gpr88(spec=0.33, log2=4.77, pct=74%, status=keep)","paper_only: Cckbr(downgrade,spec=-1.05,log2=4.52); Cnr1(downgrade,spec=-6.83,log2=5.24); Gabbr1(downgrade,spec=-0.76,log2=8.52); Gabbr2(downgrade,spec=-0.45,log2=9.12); Grm5(downgrade,spec=-0.28,log2=10.52); Htr2a(downgrade,spec=-2.79,log2=4.48); Npy1r(downgrade,spec=-2.04,log2=3.75); Oprd1(downgrade,spec=-2.71,log2=1.63); Oprm1(downgrade,spec=-4.68,log2=2.21); Sstr2(downgrade,spec=-6.30,log2=0.56) | allen_only_keep: Gpr88",
AId,Upper-layer IT excitatory,006 L4/5 IT CTX Glut,12177,"Cux1, Cux2, Rorb, Slc17a7","Gad1, Slc32a1","Cckbr, Cnr1, Gabbr1, Gabbr2, Grm5, Htr2a, Npy1r, Oprd1, Oprm1, Sstr2","Crhr1(spec=0.13, log2=3.94, pct=64%, status=keep)","paper_only: Cckbr(downgrade,spec=-1.60,log2=3.96); Cnr1(downgrade,spec=-5.56,log2=6.51); Gabbr1(downgrade,spec=-0.58,log2=8.70); Gabbr2(downgrade,spec=-0.61,log2=8.96); Grm5(downgrade,spec=-1.07,log2=9.73); Htr2a(downgrade,spec=-0.69,log2=6.59); Npy1r(downgrade,spec=-2.45,log2=3.34); Oprd1(downgrade,spec=-3.12,log2=1.22); Oprm1(downgrade,spec=-4.84,log2=2.05); Sstr2(downgrade,spec=-5.69,log2=1.16) | allen_only_keep: Crhr1",
CA,CA1 pyramidal,016 CA1-ProS Glut,24868,"Fibcd1, Mpped1, Pou3f1, Slc17a7, Spink8, Wfs1","Calb1, Cnih3, Prox1, Rgs14","Adcyap1r1, Cnr1, Drd1, Drd2, Gabbr1, Gabbr2, Grm1, Grm5, Htr1a, Htr1b, Htr2c, Oprm1, Sstr2","Htr1a(spec=0.96, log2=3.33, pct=55%, status=keep); Mc4r(spec=0.08, log2=1.12, pct=21%, status=keep)","both: Htr1a | paper_only: Adcyap1r1(downgrade,spec=-4.69,log2=1.63); Cnr1(downgrade,spec=-7.05,log2=5.38); Drd1(downgrade,spec=-1.77,log2=0.02); Drd2(downgrade,spec=-1.50,log2=0.01); Gabbr1(downgrade,spec=-0.45,log2=8.70); Gabbr2(downgrade,spec=-1.96,log2=7.93); Grm1(downgrade,spec=-1.93,log2=6.56); Grm5(downgrade,spec=-0.36,log2=10.79); Htr1b(downgrade,spec=-1.27,log2=2.14); Htr2c(downgrade,spec=-10.14,log2=1.80); Oprm1(downgrade,spec=-6.78,log2=0.18); Sstr2(downgrade,spec=-3.27,log2=0.51) | allen_only_keep: Mc4r",
CA,CA2 pyramidal,025 CA2-FC-IG Glut,327,"Amigo2, Avpr1b, Cacng5, Map3k15, Pcp4, Rgs14, Slc17a7","Cnih3, Prox1, Wfs1","Avpr1a, Avpr1b, Cnr1, Drd1, Gabbr1, Gabbr2, Grm1, Grm5, Htr1a, Oxtr","Avpr1b(spec=0.77, log2=0.81, pct=17%, status=keep_validate_spatially)","both: Avpr1b | paper_only: Avpr1a(downgrade,spec=-0.08,log2=0.03); Cnr1(downgrade,spec=-6.66,log2=5.77); Drd1(downgrade,spec=-0.64,log2=1.15); Gabbr1(downgrade,spec=-0.99,log2=8.16); Gabbr2(downgrade,spec=-1.64,log2=8.25); Grm1(downgrade,spec=-2.06,log2=6.43); Grm5(downgrade,spec=-0.81,log2=10.35); Htr1a(downgrade,spec=-3.00,log2=0.33); Oxtr(downgrade,spec=-0.07,log2=1.27)",
CA,CA3 pyramidal,017 CA3 Glut,4799,"Calb2, Cnih3, Coch, Lct, Slc17a7","Prox1, Rgs14, Wfs1","Adcyap1r1, Cnr1, Drd2, Gabbr1, Gabbr2, Grm1, Grm5, Htr1a, Htr1b, Oprm1","Npy2r(spec=2.24, log2=5.61, pct=85%, status=keep); Hcrtr1(spec=0.01, log2=0.28, pct=6%, status=candidate_to_validate)","paper_only: Adcyap1r1(downgrade,spec=-5.28,log2=1.04); Cnr1(downgrade,spec=-5.87,log2=6.56); Drd2(downgrade,spec=-1.32,log2=0.19); Gabbr1(downgrade,spec=-0.90,log2=8.25); Gabbr2(downgrade,spec=-0.87,log2=9.02); Grm1(downgrade,spec=-1.10,log2=7.39); Grm5(downgrade,spec=-0.96,log2=10.19); Htr1a(downgrade,spec=-1.93,log2=1.39); Htr1b(downgrade,spec=-3.36,log2=0.05); Oprm1(downgrade,spec=-6.77,log2=0.19) | allen_only_keep: Hcrtr1, Npy2r",
CA,DG granule cell,037 DG Glut,80255,"C1ql2, Calb1, Dock10, Dsp, Prox1, Slc17a7","Cnih3, Rgs14, Wfs1","Adcyap1r1, Cnr1, Drd2, Gabbr1, Gabbr2, Grm1, Grm5, Htr1a, Htr2c",,"paper_only: Adcyap1r1(downgrade,spec=-2.92,log2=3.40); Cnr1(downgrade,spec=-11.77,log2=0.65); Drd2(downgrade,spec=-1.50,log2=0.00); Gabbr1(downgrade,spec=-2.51,log2=6.64); Gabbr2(downgrade,spec=-2.13,log2=7.76); Grm1(downgrade,spec=-0.06,log2=8.43); Grm5(downgrade,spec=-0.98,log2=10.17); Htr1a(downgrade,spec=-2.62,log2=0.71); Htr2c(downgrade,spec=-11.79,log2=0.14)",no GPCR passes keep/validate thresholds; using expression fallback
