region_user,cell_type_label,allen_subclass_anchor,anchor_confidence,anchor_notes,n_cells_in_anchor,cell_type_marker_genes,exclusion_markers,top_GPCRs_to_choose,top_GPCRs_by_expression,n_GPCRs_keep,warning
CP,D1/direct-pathway SPN,061 STR D1 Gaba,high,Canonical D1 SPN; matches Drd1/Tac1/Pdyn markers,16660,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk","Drd1(spec=0.44, log2=8.77, pct=100%, status=keep); Grm1(spec=0.22, log2=8.99, pct=99%, status=keep); Chrm4(spec=0.00, log2=0.27, pct=6%, status=candidate_to_validate)","Grm5(log2=11.36, pct=100%, spec=-0.02); Gpr88(log2=10.17, pct=100%, spec=-0.76); Grm1(log2=8.99, pct=99%, spec=0.22); Drd1(log2=8.77, pct=100%, spec=0.44); Gabbr1(log2=8.59, pct=100%, spec=-0.59); Cnr1(log2=7.76, pct=93%, spec=-1.92); Htr2c(log2=7.00, pct=94%, spec=-0.75); Gabbr2(log2=5.28, pct=84%, spec=-4.29)",3,
CP,D1/direct-pathway SPN,063 STR D1 Sema5a Gaba,medium,D1 SPN Sema5a variant,780,"Drd1, Isl1, Pdyn, Tac1","Adora2a, Drd2, Penk",,"Gpr88(log2=10.70, pct=100%, spec=-0.22); Grm5(log2=10.34, pct=100%, spec=-1.04); Gabbr1(log2=8.53, pct=100%, spec=-0.65); Drd1(log2=8.33, pct=99%, spec=-0.44); Cnr1(log2=6.79, pct=85%, spec=-2.88); Gabbr2(log2=5.61, pct=87%, spec=-3.96); Grm1(log2=4.36, pct=68%, spec=-4.63); Oprm1(log2=3.97, pct=61%, spec=-3.98)",0,no GPCR passes keep/validate thresholds; using expression fallback
CP,D2/indirect-pathway SPN,062 STR D2 Gaba,high,Canonical D2 SPN; matches Drd2/Adora2a/Penk markers,18139,"Adora2a, Drd2, Gpr52, Gpr6, Penk, Sp9","Drd1, Tac1","Grm5(spec=0.02, log2=11.38, pct=100%, status=keep); Gpr88(spec=0.22, log2=10.92, pct=100%, status=keep); Drd2(spec=0.24, log2=9.26, pct=99%, status=keep); Adora2a(spec=4.32, log2=9.20, pct=99%, status=keep)","Grm5(log2=11.38, pct=100%, spec=0.02); Gpr88(log2=10.92, pct=100%, spec=0.22); Drd2(log2=9.26, pct=99%, spec=0.24); Adora2a(log2=9.20, pct=99%, spec=4.32); Grm1(log2=8.77, pct=98%, spec=-0.22); Gabbr1(log2=8.49, pct=100%, spec=-0.69); Htr2c(log2=7.34, pct=94%, spec=-0.41); Cnr1(log2=7.28, pct=88%, spec=-2.40)",4,
CP,Cholinergic interneuron,058 PAL-STR Gaba-Chol,high,Cholinergic-Gaba; ChAT-positive interneuron,30,"Chat, Lhx8, Slc18a3, Slc5a7","Drd1, Drd2","Gabbr1(spec=0.59, log2=9.18, pct=100%, status=keep); Chrm2(spec=0.32, log2=8.97, pct=100%, status=keep); Oprm1(spec=1.08, log2=7.95, pct=100%, status=keep); Oprd1(spec=2.02, log2=5.88, pct=97%, status=keep)","Gabbr1(log2=9.18, pct=100%, spec=0.59); Drd2(log2=9.02, pct=100%, spec=-0.24); Chrm2(log2=8.97, pct=100%, spec=0.32); Oprm1(log2=7.95, pct=100%, spec=1.08); Gabbr2(log2=7.19, pct=100%, spec=-2.38); Grm5(log2=6.03, pct=93%, spec=-5.35); Htr2c(log2=6.00, pct=93%, spec=-1.75); Oprd1(log2=5.88, pct=97%, spec=2.02)",4,
BMAp,Posterior BMA glutamatergic VGLUT1-like,012 MEA Slc17a7 Glut,high,Slc17a7 = VGLUT1; BMA glutamatergic,3984,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1",,"Grm5(log2=10.54, pct=100%, spec=-0.93); Gabbr2(log2=8.68, pct=100%, spec=-1.23); Gabbr1(log2=8.18, pct=100%, spec=-0.71); Grm1(log2=7.84, pct=98%, spec=-3.03); Npy2r(log2=5.07, pct=76%, spec=-0.62); Htr2c(log2=3.99, pct=59%, spec=-5.59); Cnr1(log2=3.94, pct=65%, spec=-7.56); Gpr88(log2=3.78, pct=58%, spec=-5.37)",0,no GPCR passes keep/validate thresholds; using expression fallback
BMAp,Posterior BMA glutamatergic VGLUT1-like,113 MEA-COA-BMA Ccdc42 Glut,medium,Major MEA-COA-BMA glutamatergic subclass in sAMY,9654,"C1ql2, Cartpt, Dcn, Gpr101, Meis2, Slc17a7","Gad1, Gad2, Slc32a1",,"Grm5(log2=10.36, pct=100%, spec=-1.12); Gabbr2(log2=8.38, pct=99%, spec=-1.53); Gabbr1(log2=8.28, pct=99%, spec=-0.61); Grm1(log2=8.23, pct=98%, spec=-2.64); Htr2c(log2=7.38, pct=87%, spec=-2.20); Oprm1(log2=5.73, pct=82%, spec=-1.67); Npy1r(log2=3.71, pct=62%, spec=-3.62); Adcyap1r1(log2=3.65, pct=63%, spec=-2.94)",0,no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,152 RE-Xi Nox4 Glut,high,Exact reuniens (RE) and Xi nuclei subclass,5450,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2",,"Grm5(log2=10.02, pct=100%, spec=-1.51); Gabbr1(log2=9.35, pct=100%, spec=-1.71); Gabbr2(log2=9.23, pct=99%, spec=-1.58); Grm1(log2=8.82, pct=98%, spec=-1.19); Chrm2(log2=6.27, pct=81%, spec=-2.93); Oprm1(log2=5.28, pct=70%, spec=-2.15); Htr2c(log2=3.87, pct=53%, spec=-7.88); Npy1r(log2=3.20, pct=51%, spec=-3.79)",0,no GPCR passes keep/validate thresholds; using expression fallback
RE,Midline thalamic glutamatergic / reuniens,149 PVT-PT Ntrk1 Glut,medium,PVT/PT midline thalamic glutamatergic,9854,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Oprk1(spec=1.42, log2=4.18, pct=66%, status=keep)","Grm5(log2=8.86, pct=99%, spec=-2.67); Gabbr2(log2=8.80, pct=99%, spec=-2.01); Gabbr1(log2=8.76, pct=100%, spec=-2.30); Grm1(log2=7.07, pct=87%, spec=-2.93); Oprm1(log2=6.85, pct=84%, spec=-0.58); Cnr1(log2=5.48, pct=78%, spec=-0.69); Htr2c(log2=5.43, pct=72%, spec=-6.32); Adcyap1r1(log2=5.24, pct=81%, spec=-2.91)",1,
RE,Midline thalamic glutamatergic / reuniens,145 MH Tac2 Glut,medium,Medial habenula Tac2; adjacent midline structure,7972,"Calb2, Pcp4, Slc17a6, Spon1, Tcf7l2","Gad1, Gad2","Gabbr1(spec=1.44, log2=11.06, pct=100%, status=keep); Gabbr2(spec=0.83, log2=10.81, pct=99%, status=keep); Sstr2(spec=2.64, log2=4.66, pct=68%, status=keep)","Gabbr1(log2=11.06, pct=100%, spec=1.44); Gabbr2(log2=10.81, pct=99%, spec=0.83); Oprm1(log2=5.06, pct=56%, spec=-2.36); Sstr2(log2=4.66, pct=68%, spec=2.64); Grm5(log2=3.99, pct=53%, spec=-7.53); Cnr1(log2=3.72, pct=55%, spec=-2.45); Grm1(log2=2.43, pct=35%, spec=-7.57); Htr2c(log2=1.25, pct=17%, spec=-10.50)",3,
LM,Lateral mammillary excitatory,144 MM Foxb1 Glut,high,Foxb1+ mammillary body main subclass,8270,"Foxb1, Lhx5, Pou4f1",Slc32a1,,"Grm1(log2=9.71, pct=100%, spec=-0.13); Gabbr2(log2=8.35, pct=97%, spec=-1.75); Gabbr1(log2=8.28, pct=98%, spec=-1.00); Grm5(log2=6.82, pct=88%, spec=-4.45); Htr2c(log2=3.77, pct=49%, spec=-5.92); Adcyap1r1(log2=2.64, pct=47%, spec=-4.76); Gpr101(log2=1.90, pct=29%, spec=-3.44); Npy1r(log2=1.69, pct=30%, spec=-5.85)",0,no GPCR passes keep/validate thresholds; using expression fallback
LM,Lateral mammillary excitatory,143 MM-ant Foxb1 Glut,medium,Anterior mammillary Foxb1+,5437,"Foxb1, Lhx5, Pou4f1",Slc32a1,,"Grm1(log2=8.85, pct=97%, spec=-0.99); Grm5(log2=8.41, pct=95%, spec=-2.86); Gabbr2(log2=8.36, pct=97%, spec=-1.74); Gabbr1(log2=8.19, pct=97%, spec=-1.09); Oprm1(log2=3.46, pct=44%, spec=-4.28); Adcyap1r1(log2=2.93, pct=49%, spec=-4.46); Gpr101(log2=1.63, pct=25%, spec=-3.71); Drd2(log2=1.59, pct=25%, spec=-2.18)",0,no GPCR passes keep/validate thresholds; using expression fallback
ORBm,L2/3 IT excitatory,007 L2/3 IT CTX Glut,high,Cortical L2/3 IT canonical,8869,"Cdh13, Cux1, Cux2, Rorb, Satb2, Slc17a7","Gad1, Slc32a1","Cckbr(spec=0.08, log2=4.87, pct=73%, status=keep)","Grm5(log2=10.48, pct=100%, spec=-0.82); Gabbr2(log2=9.02, pct=100%, spec=-0.59); Gabbr1(log2=8.47, pct=99%, spec=-0.34); Grm1(log2=7.68, pct=94%, spec=-0.90); Cnr1(log2=5.66, pct=83%, spec=-6.50); Cckbr(log2=4.87, pct=73%, spec=0.08); Gpr88(log2=4.12, pct=65%, spec=-6.22); Npy1r(log2=4.06, pct=64%, spec=-2.34)",1,
AId,Upper-layer IT excitatory,007 L2/3 IT CTX Glut,high,Cortical L2/3 IT canonical,7697,"Cux1, Cux2, Rorb, Slc17a7","Gad1, Slc32a1","Gpr88(spec=0.33, log2=4.77, pct=74%, status=keep)","Grm5(log2=10.52, pct=100%, spec=-0.28); Gabbr2(log2=9.12, pct=100%, spec=-0.45); Gabbr1(log2=8.52, pct=100%, spec=-0.76); Grm1(log2=7.76, pct=96%, spec=-0.92); Cnr1(log2=5.24, pct=81%, spec=-6.83); Gpr88(log2=4.77, pct=74%, spec=0.33); Cckbr(log2=4.52, pct=71%, spec=-1.05); Npy1r(log2=3.75, pct=62%, spec=-2.04)",1,
AId,Upper-layer IT excitatory,006 L4/5 IT CTX Glut,high,Cortical L4/5 IT (insula has prominent L4/5),12177,"Cux1, Cux2, Rorb, Slc17a7","Gad1, Slc32a1",,"Grm5(log2=9.73, pct=100%, spec=-1.07); Gabbr2(log2=8.96, pct=99%, spec=-0.61); Gabbr1(log2=8.70, pct=100%, spec=-0.58); Cnr1(log2=6.51, pct=89%, spec=-5.56); Htr1f(log2=6.28, pct=86%, spec=-1.26); Htr2c(log2=4.49, pct=64%, spec=-3.04); Grm1(log2=4.27, pct=64%, spec=-4.41); Cckbr(log2=3.96, pct=64%, spec=-1.60)",0,no GPCR passes keep/validate thresholds; using expression fallback
